# code: pt-br
# key, value

cancel_paste, Cancelar cola
stop, Parar
previous_tick, Tick anterior
next_tick, Próximo tick
timeline_select, Editor - Selecionar
timeline_tap, Editor - Tap
timeline_hold, Editor - Hold
timeline_hold_step, Editor - Step
timeline_flick, Editor - Flick
timeline_critical, Editor - Crítico
timeline_trace, Editor - Trace
timeline_guide, Editor -  Guia
timeline_damage, Editor - Dano
timeline_bpm, Editor - BPM
timeline_time_signature, Editor - Indicação de tempo
timeline_hi_speed, Editor - Hi-speed
zoom_in, Zoom
zoom_out, Diminuir zoom
